mainid,lastname,result,n_lastname,jeiba_lastname
2,教育學系,教育(Na) 學系(Na),教育 學系,教育 學系
2,比較教育學系,比較(VC) 教育(Na) 學系(Na),比較 教育 學系,比較 教育 學系
2,國民教育學系,國民教育(Na) 學系(Na),國民教育 學系,國民 教育 學系
2,多元文化教育學系,多元(VH) 文化(Na) 教育(Na) 學系(Na),多元 文化 教育 學系,多元 文化教育 學系
2,課程與教學研究所,課程(Na) 教學(VA) 研究所(Nc),課程 教學 研究所,課程 與 教學 研究所
2,課程研究所,課程(Na) 研究所(Nc),課程 研究所,課程 研究所
2,教育專業發展研究所,教育(Na) 專業(VH) 發展(Na) 研究所(Nc),教育 專業 發展 研究所,教育 專業 發展 研究所
2,教育心理與輔導學系,教育(Na) 心理(Na) 輔導學系(Na),教育 心理 輔導學系,教育 心理 與 輔導 學系
2,輔導學系,輔導學系(Nc),輔導學系,輔導 學系
2,教育心理與諮商學系,教育(Na) 心理(Na) 諮商(VE) 學系(Na),教育 心理 諮商 學系,教育 心理 與 諮 商學系
2,高等教育研究所,教育(Na) 研究所(Nc),教育 研究所,高等教育 研究所
2,教學藝術研究所,教學(Nv) 藝術(Na) 研究所(Nc),教學 藝術 研究所,教學 藝術 研究所
2,學習與教學研究所,學習(VC) 教學(VA) 研究所(Nc),學習 教學 研究所,學習 與 教學 研究所
2,技職教育與人力資源發展研究所,技職(Na) 教育(Na) 人力(Na) 資源(Na) 發展(VC) 研究所(Nc),技職 教育 人力 資源 發展 研究所,技職 教育 與 人力 資源 發展 研究所
2,技術及職業教育研究所,技術(Na) 職業(Na) 教育(Na) 研究所(Nc),技術 職業 教育 研究所,技術 及 職業 教育 研究所
2,初等教育學系,教育(Na) 學系(Na),教育 學系,初等教育 學系
2,教育心理學系,教育(Na) 心理學系(Na),教育 心理學系,教育 心理 學系
2,教師專業發展研究所,教師(Na) 專業(VH) 發展(Na) 研究所(Nc),教師 專業 發展 研究所,教師 專業 發展 研究所
2,家庭教育與諮商研究所,家庭(Na) 教育(Na) 諮商(Nv) 研究所(Nc),家庭 教育 諮商 研究所,家庭教育 與 諮 商 研究所
2,課程設計與潛能開發學系,課程(Na) 設計(Na) 潛能(Na) 開發(VC) 學系(Na),課程 設計 潛能 開發 學系,課程 設計 與 潛能 開 發學系
2,國際文教與比較教育學系,國際(Nc) 文教(Na) 比較(Nv) 教育(Na) 學系(Na),國際 文教 比較 教育 學系,國際 文教 與 比 較 教育 學系
2,公民教育與活動領導學系,公民(Na) 教育(Na) 活動(Na) 領導(Nv) 學系(Na),公民 教育 活動 領導 學系,公民 教育 與 活動 領導 學系
2,語文教育學系,語文(Na) 教育(Na) 學系(Na),語文 教育 學系,語文 教育 學系
2,華語文教學學系,華語文(Na) 教學(VA) 學系(Na),華語文 教學 學系,華語 文教 學學系
2,華語教學學系,華語(Na) 教學(VA) 學系(Na),華語 教學 學系,華語 教學學系
2,國文教育研究所,國文(Na) 教育(Na) 研究所(Nc),國文 教育 研究所,國文 教育 研究所
2,中國語文教育學系,中國(Nc) 語文(Na) 教育(Na) 學系(Na),中國 語文 教育 學系,中國 語文 教育 學系
2,自然科學教育學系,自然(Na) 科學(Na) 教育(Na) 學系(Na),自然 科學 教育 學系,自然科 學 教育 學系
2,科學教育學系,科學(Na) 教育(Na) 學系(Na),科學 教育 學系,科學 教育 學系
2,自然科學系,自然(Na) 科學(Na),自然 科學,自然科 學系
2,科學應用與推廣學系,科學(Na) 應用(Na) 推廣(VC) 學系(Na),科學 應用 推廣 學系,科學 應用 與 推廣學系
2,數理教育研究所,數理(Na) 教育(Na) 研究所(Nc),數理 教育 研究所,數理 教育 研究所
2,數學暨資訊教育學系,數學(Na) 資訊(Na) 教育(Na) 學系(Na),數學 資訊 教育 學系,數學 暨 資訊 教育 學系
2,數學教育學系,數學(Na) 教育(Na) 學系(Na),數學 教育 學系,數學 教育 學系
2,兒童英語教育學系,兒童(Na) 英語(Na) 教育(Na) 學系(Na),兒童 英語 教育 學系,兒童 英語 教育 學系
2,外語教學系,外語(Na) 教學系(Nv),外語 教學系,外語 教學系
2,社會科教育學系,社會科(Na) 教育學系(Na),社會科 教育學系,社會科 教育 學系
2,人類發展與家庭學系,人類(Na) 發展(VC) 家庭學系(Na),人類 發展 家庭學系,人類 發展 與 家庭 學系
2,國小科學教育研究所,國小(Nc) 科學(Na) 教育(Na) 研究所(Nc),國小 科學 教育 研究所,國小科學 教育 研究所
2,公民訓育學系,公民(Na) 學系(Na),公民 學系,公民 訓育 學系
2,國文教學碩士,國文(Na) 教學(Nv) 碩士(Na),國文 教學 碩士,國 文教 學碩士
2,數學教學碩士,數學(Na) 教學(VA) 碩士(Na),數學 教學 碩士,數學 教學 碩士
2,臺灣華語教學研究所,臺灣(Nc) 華語(Na) 教學(VA) 研究所(Nc),臺灣 華語 教學 研究所,臺 灣華語 教學 研究所
2,公共事務與公民教育學系,事務(Na) 公民(Na) 教育(Na) 學系(Na),事務 公民 教育 學系,公共 事務 與 公民 教育 學系
2,社會教育學系,社會(Na) 教育(Na) 學系(Na),社會 教育 學系,社會 教育 學系
2,工業教育學系,工業(Na) 教育(Na) 學系(Na),工業 教育 學系,工業 教育 學系
2,工業教育與技術學系,工業(Na) 教育(Na) 技術(Na) 學系(Na),工業 教育 技術 學系,工業 教育 與 技術 學系
2,科技教育學系,科技(Na) 教育(Na) 學系(Na),科技 教育 學系,科技 教育 學系
2,工業科技教育學系,工業(Na) 科技(Na) 教育(Na) 學系(Na),工業 科技 教育 學系,工業 科技 教育 學系
2,商業教育學系,商業(Na) 教育(Na) 學系(Na),商業 教育 學系,商業 教育 學系
2,衛生教育學系,衛生(Na) 教育(Na) 學系(Na),衛生 教育 學系,衛生 教育 學系
2,生態與環境教育學系,生態(Na) 環境(Na) 教育(Na) 學系(Na),生態 環境 教育 學系,生態 與 環境 教育 學系
2,環境教育學系,環境(Na) 教育(Na) 學系(Na),環境 教育 學系,環境 教育 學系
2,環境教育與資源研究所,環境(Na) 教育(Na) 資源(Na) 研究所(Nc),環境 教育 資源 研究所,環境 教育 與 資源 研究所
2,資訊教育學系,資訊(Na) 教育(Na) 學系(Na),資訊 教育 學系,資訊 教育 學系
2,音樂教育學系,音樂(Na) 教育(Na) 學系(Na),音樂 教育 學系,音樂 教育 學系
2,音樂藝術教育學系,音樂(Na) 藝術(Na) 教育(Na) 學系(Na),音樂 藝術 教育 學系,音樂 藝術 教育 學系
2,傳統音樂教育研究所,傳統(VH) 音樂(Na) 教育(Na) 研究所(Nc),傳統 音樂 教育 研究所,傳統 音樂 教育 研究所
2,美勞教育學系,美勞(Na) 教育(Na) 學系(Na),美勞 教育 學系,美勞 教育 學系
2,藝術教育學系,藝術(Na) 教育(Na) 學系(Na),藝術 教育 學系,藝術 教育 學系
2,藝術與教育學系,藝術(Na) 教育(Na) 學系(Na),藝術 教育 學系,藝術 與 教育 學系
2,藝術與人文教育研究所,藝術(Na) 人文(Na) 教育(Na) 研究所(Nc),藝術 人文 教育 研究所,藝術 與 人文 教育 研究所
2,視覺藝術教育學系,視覺(Na) 藝術(Na) 教育(Na) 學系(Na),視覺 藝術 教育 學系,視覺 藝術 教育 學系
2,醫護教育研究所,教育(Na) 研究所(Nc),教育 研究所,醫護 教育 研究所
2,體育學系,體育(Na) 學系(Na),體育 學系,體育 學系
2,運動教育研究所，運動與休閒教育研究所,運動(Na) 教育(Na) 研究所(Nc) 運動(Na) 休閒(Nv) 教育(Na) 研究所(Nc),運動 教育 研究所 運動 休閒 教育 研究所,運動 教育 研究所 ， 運動 與 休閒 教育 研究所
2,家政教育學系,家政(Na) 教育(Na) 學系(Na),家政 教育 學系,家政 教育 學系
2,農業教育學系,農業(Na) 教育(Na) 學系(Na),農業 教育 學系,農業 教育 學系
2,工藝教育學系,工藝(Na) 教育(Na) 學系(Na),工藝 教育 學系,工藝 教育 學系
2,藝術與人文教學研究所,藝術(Na) 人文(Na) 教學(VA) 研究所(Nc),藝術 人文 教學 研究所,藝術 與 人 文教 學 研究所
2,健康促進與衛生教育,健康(VH) 促進(VK) 衛生(Na) 教育(Na),健康 促進 衛生 教育,健康 促進 與 衛生 教育
2,生態休閒教育學位學程,生態(Na) 休閒(Nv) 教育(Na) 學位(Na) 學程(Na),生態 休閒 教育 學位 學程,生態 休閒 教育 學位 學程
2,餐旅教育研究所,餐旅(Na) 教育(Na) 研究所(Nc),餐旅 教育 研究所,餐旅 教育 研究所
2,環境教育及管理研究所,環境(Na) 教育(Na) 管理(Na) 研究所(Nc),環境 教育 管理 研究所,環境 教育 及 管理 研究所
2,體育與運動科學系,體育(Na) 運動(Na) 科學(Na),體育 運動 科學,體育 與 運動 科學系
2,幼兒教育學系,幼兒(Na) 教育(Na) 學系(Na),幼兒 教育 學系,幼兒 教育 學系
2,兒童發展與家庭教育學系,兒童(Na) 發展(Na) 家庭(Na) 教育(Na) 學系(Na),兒童 發展 家庭 教育 學系,兒童 發展 與 家庭教育 學系
2,幼稚園教師教學碩士班,幼稚園(Nc) 教師(Na) 教學(Nv) 碩士班(Nc),幼稚園 教師 教學 碩士班,幼稚 園教師 教學 碩士班
2,幼兒與家庭教育學系,幼兒(Na) 家庭(Na) 教育(Na) 學系(Na),幼兒 家庭 教育 學系,幼兒 與 家庭教育 學系
2,兒童教育暨事業經營學系,兒童(Na) 教育(Na) 事業(Na) 經營(VC) 學系(Na),兒童 教育 事業 經營 學系,兒童 教育 暨 事業 經營 學系
